Location	Time	Class	Type	Length	Width	ID
NOR	220.17	B	Sedan	6.0000	1.7000	137
NOR	221.17	B	Sedan	6.0000	1.7000	137
NOR	221.33	D	Bus	14.5000	2.5500	137
GOK	221.50	C	Van	7.9500	2.0000	138
GOK	223.17	C	Van	7.9500	2.0000	138
GOK	223.50	D	Bus	14.5000	2.5500	138
AND	224.00	C	Jeep	6.9500	1.8500	139
AND	227.33	B	Sedan	6.0000	1.7000	140
AND	227.33	A	BicycleMotorcycle	2.1500	0.6500	141
GOK	227.83	C	Jeep	6.9500	1.8500	142
AND	229.50	C	Van	7.9500	2.0000	142
NOR	229.67	C	Van	7.9500	2.0000	143
NOR	229.83	D	BigTruck	19.2500	2.6500	143
AND	232.33	D	Bus	14.5000	2.5500	144
AND	234.17	C	MiniTruckPickup	6.4000	2.0000	145
AND	234.33	C	Van	7.9500	2.0000	146
GOK	237.17	C	Jeep	6.9500	1.8500	147
NOR	237.50	B	Sedan	6.0000	1.7000	147
GOK	237.83	B	Sedan	6.0000	1.7000	147
NOR	239.67	D	BigTruck	19.2500	2.6500	147
NOR	241.00	D	BigTruck	19.2500	2.6500	148
NOR	241.17	C	Jeep	6.9500	1.8500	149
NOR	241.67	C	Jeep	6.9500	1.8500	149
AND	244.00	C	MiniVanSUV	6.4000	1.7500	149
NOR	245.83	C	MiniTruckPickup	6.4000	2.0000	150
NOR	246.00	C	Van	7.9500	2.0000	150
AND	249.33	B	Sedan	6.0000	1.7000	150
AND	250.33	D	BigTruck	19.2500	2.6500	151
NOR	250.50	D	Bus	14.5000	2.5500	152
GOK	251.00	C	Van	7.9500	2.0000	153
NOR	251.83	A	BicycleMotorcycle	2.1500	0.6500	153
NOR	252.00	D	BigTruck	19.2500	2.6500	154
NOR	252.17	A	BicycleMotorcycle	2.1500	0.6500	155
NOR	252.33	D	BigTruck	19.2500	2.6500	156
GOK	252.83	A	PedicabTricycle	2.1500	1.6000	157
GOK	253.00	B	Sedan	6.0000	1.7000	157
GOK	253.17	C	Van	7.9500	2.0000	157
AND	255.50	A	BicycleMotorcycle	2.1500	0.6500	157
GOK	255.83	C	Jeep	6.9500	1.8500	158
NOR	255.83	D	Bus	14.5000	2.5500	158
GOK	256.17	C	Van	7.9500	2.0000	159
NOR	256.50	C	Van	7.9500	2.0000	159
NOR	259.17	D	Bus	14.5000	2.5500	159
AND	260.67	B	Sedan	6.0000	1.7000	160
GOK	260.67	C	Van	7.9500	2.0000	161
AND	261.67	C	Van	7.9500	2.0000	161
AND	261.83	D	BigTruck	19.2500	2.6500	162
GOK	262.67	B	Sedan	6.0000	1.7000	163
GOK	265.50	C	Van	7.9500	2.0000	163
NOR	267.67	B	Sedan	6.0000	1.7000	163
NOR	267.83	C	Van	7.9500	2.0000	163
GOK	270.17	C	Van	7.9500	2.0000	163
AND	272.00	C	Jeep	6.9500	1.8500	163
AND	275.33	D	Bus	14.5000	2.5500	164
GOK	276.67	D	BigTruck	19.2500	2.6500	165
NOR	277.50	D	Bus	14.5000	2.5500	165
GOK	278.83	A	PedicabTricycle	2.1500	1.6000	165
AND	282.83	B	Sedan	6.0000	1.7000	165
AND	282.83	A	PedicabTricycle	2.1500	1.6000	166
GOK	284.17	B	Sedan	6.0000	1.7000	167
AND	287.00	C	Van	7.9500	2.0000	167
GOK	288.17	D	BigTruck	19.2500	2.6500	168
NOR	288.67	D	Bus	14.5000	2.5500	168
NOR	288.83	D	Bus	14.5000	2.5500	168
NOR	289.17	B	Sedan	6.0000	1.7000	168
